Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C012,P005,Clothing,293.75,2023-06-18
C200,P034,Home & Kitchen,70.21,2023-09-20
C030,P019,Home & Kitchen,410.19,2023-02-07
C016,P029,Books,210.86,2023-12-26
C102,P017,Electronics,444.92,2023-07-22
C182,P023,Books,378.45,2023-04-24
C466,P046,Books,356.73,2023-03-22
C206,P040,Electronics,258.63,2023-04-20
C174,P029,Books,261.65,2023-09-23
C247,P005,Clothing,461.79,2023-01-07
C436,P050,Home & Kitchen,227.17,2023-10-31
C404,P040,Electronics,232.11,2023-09-20
C221,P006,Electronics,341.74,2023-08-21
C136,P010,Home & Kitchen,192.31,2023-04-07
C341,P031,Books,80.95,2023-02-16
C415,P037,Clothing,452.41,2023-02-28
C133,P024,Books,162.82,2023-07-10
C382,P033,Electronics,7.1,2023-04-24
C381,P005,Clothing,417.77,2023-05-16
C203,P047,Clothing,76.98,2023-03-10
C455,P029,Books,334.5,2023-08-17
C006,P003,Electronics,154.09,2023-05-27
C307,P010,Home & Kitchen,98.84,2023-03-11
C005,P013,Home & Kitchen,409.57,2023-02-18
C278,P030,Home & Kitchen,439.44,2023-10-01
C432,P049,Electronics,314.55,2023-10-12
C455,P044,Clothing,203.21,2023-10-04
C241,P017,Electronics,121.8,2023-08-29
C379,P044,Clothing,323.13,2023-01-06
C053,P022,Electronics,94.95,2023-09-12
C105,P032,Home & Kitchen,87.27,2023-12-28
C192,P021,Home & Kitchen,274.67,2023-11-05
C355,P043,Books,412.54,2023-09-01
C244,P010,Home & Kitchen,484.44,2023-05-11
C143,P015,Clothing,328.05,2023-06-16
C415,P032,Home & Kitchen,56.75,2023-11-27
C358,P039,Books,35.19,2023-01-24
C261,P021,Home & Kitchen,345.2,2023-01-12
C199,P026,Electronics,49.16,2023-10-23
C474,P014,Toys & Games,165.16,2023-01-16
C081,P007,Books,102.35,2023-11-19
C015,P039,Books,435.44,2023-01-26
C313,P036,Clothing,132.09,2023-05-07
C115,P019,Home & Kitchen,45.8,2023-07-26
C083,P038,Home & Kitchen,12.0,2023-11-03
C151,P046,Books,243.36,2023-03-31
C044,P014,Toys & Games,299.66,2023-12-29
C163,P040,Electronics,481.54,2023-05-31
C057,P011,Books,155.22,2023-02-21
C035,P004,Books,353.83,2023-11-25
C476,P021,Home & Kitchen,274.18,2023-09-06
C303,P028,Books,390.86,2023-12-01
C011,P032,Home & Kitchen,441.96,2023-06-14
C133,P019,Home & Kitchen,100.23,2023-02-07
C237,P045,Clothing,111.54,2023-05-26
C067,P012,Electronics,272.66,2023-03-01
C058,P007,Books,33.96,2023-09-28
C293,P049,Electronics,178.31,2023-11-09
C170,P003,Electronics,198.27,2023-10-28
C176,P043,Books,226.75,2023-08-19
C394,P032,Home & Kitchen,158.71,2023-03-14
C348,P037,Clothing,36.71,2023-11-26
C467,P047,Clothing,143.12,2023-01-23
C028,P013,Home & Kitchen,347.32,2023-07-19
C438,P047,Clothing,487.15,2023-06-08
C322,P045,Clothing,497.46,2023-08-05
C222,P008,Home & Kitchen,35.7,2023-11-15
C302,P023,Books,107.02,2023-02-02
C035,P004,Books,287.29,2023-12-05
C260,P026,Electronics,291.22,2023-02-12
C217,P050,Home & Kitchen,223.07,2023-05-16
C489,P002,Books,66.43,2023-03-29
C154,P010,Home & Kitchen,168.8,2023-06-12
C466,P047,Clothing,139.38,2023-07-16
C448,P039,Books,156.74,2023-03-30
C034,P003,Electronics,257.2,2023-12-17
C477,P050,Home & Kitchen,394.47,2023-09-26
C362,P001,Clothing,129.3,2023-10-22
C224,P021,Home & Kitchen,112.19,2023-12-28
C147,P029,Books,426.06,2023-01-16
C023,P015,Clothing,223.86,2023-03-24
C131,P002,Books,399.78,2023-04-16
C034,P017,Electronics,51.77,2023-05-26
C230,P037,Clothing,412.92,2023-05-10
C259,P047,Clothing,145.74,2023-11-21
C453,P044,Clothing,281.47,2023-11-14
C455,P044,Clothing,126.0,2023-11-19
C054,P044,Clothing,152.29,2023-04-15
C387,P039,Books,381.65,2023-09-18
C498,P027,Toys & Games,348.78,2023-08-14
C443,P009,Toys & Games,93.31,2023-12-16
C426,P040,Electronics,463.97,2023-06-13
C413,P009,Toys & Games,401.06,2023-09-14
C468,P027,Toys & Games,259.98,2023-03-13
C177,P032,Home & Kitchen,260.27,2023-05-04
C097,P012,Electronics,245.61,2023-09-23
C027,P022,Electronics,317.18,2023-08-04
C421,P032,Home & Kitchen,231.34,2023-12-13
C222,P020,Toys & Games,121.69,2023-12-09
C257,P029,Books,331.61,2023-03-11
C480,P048,Books,215.85,2023-10-18
C091,P031,Books,102.6,2023-03-02
C356,P017,Electronics,217.67,2023-03-31
C171,P044,Clothing,290.52,2023-08-13
C222,P012,Electronics,5.41,2023-01-02
C002,P044,Clothing,141.2,2023-08-28
C410,P021,Home & Kitchen,45.03,2023-05-03
C329,P027,Toys & Games,226.44,2023-04-15
C071,P030,Home & Kitchen,385.65,2023-07-25
C388,P020,Toys & Games,267.35,2023-05-05
C080,P046,Books,330.61,2023-06-14
C164,P013,Home & Kitchen,61.3,2023-12-27
C296,P003,Electronics,315.99,2023-01-23
C418,P010,Home & Kitchen,136.77,2023-07-08
C324,P040,Electronics,233.21,2023-12-26
C397,P044,Clothing,382.41,2023-01-24
C487,P005,Clothing,476.32,2023-09-05
C290,P032,Home & Kitchen,448.55,2023-01-05
C081,P032,Home & Kitchen,108.41,2023-12-02
C070,P048,Books,196.26,2023-04-01
C019,P025,Clothing,409.06,2023-10-19
C329,P029,Books,469.46,2023-05-24
C421,P001,Clothing,463.15,2023-09-16
C125,P046,Books,124.56,2023-02-05
C162,P037,Clothing,391.73,2023-06-28
C152,P009,Toys & Games,435.0,2023-08-02
C163,P040,Electronics,410.62,2023-09-22
C037,P002,Books,393.19,2023-07-19
C322,P009,Toys & Games,115.28,2023-07-14
C462,P019,Home & Kitchen,85.66,2023-09-23
C400,P018,Electronics,313.78,2023-10-04
C252,P025,Clothing,478.47,2023-12-09
C421,P005,Clothing,462.65,2023-02-08
C311,P029,Books,418.6,2023-05-09
C274,P019,Home & Kitchen,356.55,2023-03-13
C294,P017,Electronics,194.25,2023-03-11
C010,P037,Clothing,301.14,2023-09-29
C495,P011,Books,257.48,2023-03-23
C471,P019,Home & Kitchen,342.42,2023-04-26
C060,P015,Clothing,418.37,2023-10-24
C423,P037,Clothing,478.87,2023-11-07
C443,P030,Home & Kitchen,106.4,2023-06-28
C441,P032,Home & Kitchen,407.55,2023-07-07
C405,P003,Electronics,143.51,2023-09-22
C280,P017,Electronics,120.76,2023-08-06
C261,P046,Books,55.63,2023-02-09
C338,P048,Books,409.54,2023-02-22
C467,P028,Books,129.69,2023-05-28
C117,P007,Books,211.25,2023-08-16
C021,P012,Electronics,22.96,2023-09-20
C189,P040,Electronics,147.35,2023-05-07
C468,P039,Books,488.65,2023-03-16
C024,P012,Electronics,367.39,2023-11-11
C411,P003,Electronics,282.91,2023-09-13
C050,P004,Books,365.95,2023-01-08
C141,P043,Books,483.58,2023-01-30
C044,P008,Home & Kitchen,469.53,2023-10-07
C249,P022,Electronics,213.66,2023-01-28
C253,P050,Home & Kitchen,423.49,2023-10-21
C354,P004,Books,378.26,2023-01-24
C146,P037,Clothing,70.55,2023-01-15
C278,P038,Home & Kitchen,276.36,2023-12-17
C170,P034,Home & Kitchen,292.39,2023-09-19
C336,P030,Home & Kitchen,204.75,2023-02-26
C007,P036,Clothing,154.59,2023-05-16
C209,P018,Electronics,196.11,2023-02-18
C492,P018,Electronics,378.8,2023-06-18
C256,P005,Clothing,381.81,2023-09-05
C040,P019,Home & Kitchen,313.88,2023-06-10
C468,P013,Home & Kitchen,168.52,2023-02-26
C480,P019,Home & Kitchen,93.97,2023-10-03
C135,P014,Toys & Games,360.5,2023-02-22
C143,P001,Clothing,430.62,2023-08-11
C151,P028,Books,392.0,2023-08-23
C366,P011,Books,161.44,2023-07-23
C497,P011,Books,165.77,2023-05-11
C378,P044,Clothing,243.26,2023-10-24
C468,P015,Clothing,211.5,2023-06-02
C397,P031,Books,314.03,2023-03-25
C371,P030,Home & Kitchen,141.96,2023-03-08
C262,P018,Electronics,68.61,2023-02-02
C117,P010,Home & Kitchen,332.96,2023-11-24
C038,P011,Books,263.32,2023-02-06
C411,P036,Clothing,274.42,2023-01-18
C439,P016,Toys & Games,149.63,2023-05-10
C119,P035,Books,430.25,2023-02-04
C447,P012,Electronics,281.85,2023-01-27
C135,P022,Electronics,324.53,2023-09-08
C480,P038,Home & Kitchen,233.8,2023-06-27
C376,P004,Books,410.02,2023-07-30
C240,P040,Electronics,181.39,2023-06-22
C092,P045,Clothing,42.04,2023-02-04
C396,P025,Clothing,329.43,2023-01-24
C066,P044,Clothing,197.91,2023-05-13
C121,P016,Toys & Games,417.83,2023-12-16
C255,P037,Clothing,201.72,2023-12-06
C377,P009,Toys & Games,196.68,2023-07-08
C169,P004,Books,356.84,2023-05-28
C131,P038,Home & Kitchen,349.97,2023-08-20
C470,P049,Electronics,204.43,2023-06-14
C224,P025,Clothing,288.48,2023-05-16
C338,P012,Electronics,397.3,2023-01-12
C179,P049,Electronics,243.03,2023-11-15
C219,P029,Books,490.94,2023-08-14
C476,P046,Books,168.3,2023-07-28
C114,P003,Electronics,100.31,2023-11-25
C062,P031,Books,340.1,2023-09-04
C085,P020,Toys & Games,12.67,2023-06-05
C103,P008,Home & Kitchen,308.43,2023-11-05
C295,P025,Clothing,413.01,2023-06-20
C442,P020,Toys & Games,485.28,2023-04-17
C076,P004,Books,333.25,2023-02-08
C089,P030,Home & Kitchen,476.84,2023-08-07
C344,P012,Electronics,69.1,2023-01-24
C183,P044,Clothing,474.04,2023-02-04
C414,P009,Toys & Games,128.91,2023-06-09
C018,P024,Books,170.28,2023-05-22
C441,P017,Electronics,445.41,2023-01-21
C286,P018,Electronics,41.9,2023-12-15
C251,P019,Home & Kitchen,296.25,2023-11-09
C261,P043,Books,32.99,2023-01-21
C228,P029,Books,15.04,2023-04-22
C432,P013,Home & Kitchen,197.11,2023-06-04
C235,P024,Books,374.29,2023-08-02
C488,P020,Toys & Games,158.16,2023-08-06
C285,P031,Books,338.05,2023-09-21
C148,P020,Toys & Games,64.88,2023-06-21
C010,P032,Home & Kitchen,346.54,2023-02-12
C135,P032,Home & Kitchen,474.59,2023-11-11
C435,P022,Electronics,283.99,2023-08-05
C225,P040,Electronics,99.12,2023-08-06
C325,P042,Clothing,313.61,2023-12-01
C165,P039,Books,184.74,2023-01-25
C486,P036,Clothing,335.79,2023-09-11
C018,P011,Books,143.6,2023-09-24
C156,P032,Home & Kitchen,343.53,2023-04-23
C308,P043,Books,118.13,2023-09-30
C214,P019,Home & Kitchen,276.78,2023-07-12
C277,P031,Books,67.99,2023-10-30
C362,P006,Electronics,353.74,2023-03-14
C248,P048,Books,184.04,2023-02-04
C101,P029,Books,218.42,2023-01-16
C145,P048,Books,151.6,2023-12-25
C297,P012,Electronics,482.42,2023-08-14
C467,P022,Electronics,365.28,2023-05-29
C297,P003,Electronics,253.44,2023-01-24
C064,P002,Books,98.0,2023-02-25
C042,P038,Home & Kitchen,242.98,2023-09-28
C090,P022,Electronics,431.24,2023-05-17
C432,P024,Books,187.1,2023-11-29
C066,P027,Toys & Games,495.95,2023-12-23
C131,P008,Home & Kitchen,355.68,2023-11-19
C490,P032,Home & Kitchen,78.62,2023-01-21
C136,P011,Books,340.95,2023-10-28
C105,P008,Home & Kitchen,23.01,2023-09-01
C040,P012,Electronics,268.94,2023-12-04
C013,P038,Home & Kitchen,270.63,2023-08-18
C378,P033,Electronics,158.41,2023-04-12
C130,P015,Clothing,480.39,2023-11-23
C437,P016,Toys & Games,350.19,2023-05-01
C141,P032,Home & Kitchen,199.84,2023-10-17
C376,P026,Electronics,486.23,2023-03-01
C159,P045,Clothing,452.36,2023-11-02
C386,P039,Books,188.48,2023-06-11
C321,P020,Toys & Games,350.48,2023-11-04
C474,P040,Electronics,229.73,2023-06-03
C047,P037,Clothing,53.67,2023-03-06
C493,P004,Books,262.75,2023-07-09
C171,P049,Electronics,55.77,2023-03-18
C020,P040,Electronics,325.55,2023-10-10
C370,P001,Clothing,372.18,2023-01-19
C467,P013,Home & Kitchen,465.23,2023-12-22
C024,P027,Toys & Games,165.9,2023-01-30
C048,P015,Clothing,167.12,2023-02-19
C154,P029,Books,124.28,2023-11-10
C276,P047,Clothing,400.65,2023-07-04
C271,P006,Electronics,195.2,2023-06-16
C186,P027,Toys & Games,447.34,2023-04-05
C444,P019,Home & Kitchen,351.84,2023-02-12
C078,P045,Clothing,485.57,2023-03-12
C319,P027,Toys & Games,63.2,2023-07-19
C016,P010,Home & Kitchen,241.02,2023-07-26
C126,P027,Toys & Games,434.07,2023-02-13
C232,P048,Books,251.0,2023-05-05
C302,P010,Home & Kitchen,297.23,2023-12-13
C063,P015,Clothing,268.71,2023-02-28
C117,P049,Electronics,464.25,2023-09-01
C153,P017,Electronics,332.12,2023-04-29
C046,P020,Toys & Games,409.07,2023-11-19
C190,P043,Books,125.54,2023-05-11
C291,P047,Clothing,152.13,2023-01-19
C237,P048,Books,341.6,2023-03-17
C045,P020,Toys & Games,66.96,2023-03-30
C184,P046,Books,454.96,2023-11-18
C005,P030,Home & Kitchen,118.61,2023-11-04
C487,P046,Books,356.43,2023-02-08
C458,P004,Books,403.07,2023-06-29
C222,P026,Electronics,323.51,2023-08-02
C343,P019,Home & Kitchen,192.29,2023-07-04
C129,P046,Books,241.52,2023-04-02
C115,P024,Books,71.38,2023-08-23
C320,P001,Clothing,122.6,2023-01-06
C103,P037,Clothing,182.05,2023-06-15
C047,P009,Toys & Games,209.0,2023-09-08
C464,P022,Electronics,187.89,2023-08-14
C484,P050,Home & Kitchen,116.49,2023-05-04
C302,P016,Toys & Games,453.04,2023-12-24
C352,P048,Books,391.58,2023-09-07
C230,P045,Clothing,202.51,2023-06-27
C043,P045,Clothing,241.46,2023-11-15
C285,P022,Electronics,141.72,2023-12-09
C410,P042,Clothing,169.23,2023-09-02
C403,P006,Electronics,120.24,2023-12-05
C115,P037,Clothing,355.7,2023-09-10
C448,P023,Books,74.67,2023-10-31
C446,P018,Electronics,298.14,2023-08-29
C246,P035,Books,276.47,2023-01-01
C321,P023,Books,242.71,2023-08-21
C200,P020,Toys & Games,312.65,2023-03-27
C050,P019,Home & Kitchen,392.15,2023-01-25
C216,P025,Clothing,394.0,2023-10-04
C035,P005,Clothing,469.58,2023-08-03
C159,P032,Home & Kitchen,323.06,2023-09-09
C179,P020,Toys & Games,56.78,2023-04-02
C285,P026,Electronics,131.05,2023-10-12
C123,P029,Books,227.03,2023-08-11
C022,P034,Home & Kitchen,367.0,2023-12-27
C015,P023,Books,262.69,2023-09-26
C400,P031,Books,233.82,2023-01-02
C327,P001,Clothing,103.94,2023-02-13
C408,P035,Books,67.7,2023-05-31
C482,P025,Clothing,453.21,2023-08-15
C410,P049,Electronics,156.11,2023-04-13
C076,P030,Home & Kitchen,70.93,2023-11-23
C407,P006,Electronics,473.84,2023-09-09
C057,P035,Books,374.32,2023-06-02
C350,P006,Electronics,442.13,2023-05-19
C191,P001,Clothing,51.47,2023-05-09
C043,P009,Toys & Games,151.92,2023-09-09
C327,P018,Electronics,7.87,2023-09-09
C476,P017,Electronics,300.92,2023-09-15
C347,P015,Clothing,68.23,2023-02-26
C204,P015,Clothing,124.57,2023-03-07
C046,P010,Home & Kitchen,391.15,2023-04-15
C204,P019,Home & Kitchen,304.54,2023-01-18
C095,P050,Home & Kitchen,205.92,2023-05-16
C161,P032,Home & Kitchen,164.63,2023-05-10
C331,P031,Books,496.01,2023-03-19
C125,P029,Books,291.33,2023-03-28
C473,P022,Electronics,321.85,2023-04-12
C320,P033,Electronics,420.42,2023-10-28
C117,P022,Electronics,383.46,2023-09-18
C345,P017,Electronics,291.87,2023-12-05
C105,P043,Books,96.75,2023-03-24
C353,P027,Toys & Games,218.44,2023-11-04
C490,P019,Home & Kitchen,246.56,2023-11-08
C231,P019,Home & Kitchen,430.19,2023-12-06
C373,P049,Electronics,178.39,2023-06-14
C075,P001,Clothing,209.21,2023-02-10
C376,P030,Home & Kitchen,98.07,2023-09-08
C142,P026,Electronics,442.89,2023-07-23
C025,P025,Clothing,136.4,2023-11-20
C327,P044,Clothing,127.84,2023-06-18
C447,P033,Electronics,451.3,2023-09-10
C294,P004,Books,379.87,2023-07-12
C164,P018,Electronics,173.11,2023-10-15
C051,P010,Home & Kitchen,429.65,2023-04-07
C174,P045,Clothing,27.34,2023-02-28
C473,P037,Clothing,403.59,2023-11-21
C042,P038,Home & Kitchen,76.14,2023-09-08
C027,P035,Books,338.82,2023-10-31
C121,P014,Toys & Games,441.46,2023-06-02
C210,P003,Electronics,363.31,2023-07-23
C167,P044,Clothing,280.85,2023-09-01
C287,P044,Clothing,141.61,2023-09-23
C384,P043,Books,212.7,2023-09-22
C199,P025,Clothing,118.65,2023-09-10
C324,P024,Books,457.29,2023-12-29
C451,P009,Toys & Games,342.04,2023-05-04
C252,P043,Books,491.88,2023-08-20
C279,P013,Home & Kitchen,304.2,2023-07-30
C244,P020,Toys & Games,95.39,2023-04-10
C244,P011,Books,87.8,2023-08-24
C349,P041,Home & Kitchen,471.35,2023-04-15
C441,P029,Books,334.81,2023-07-10
C374,P050,Home & Kitchen,461.97,2023-12-09
C457,P026,Electronics,233.06,2023-11-21
C349,P002,Books,341.17,2023-03-08
C208,P018,Electronics,322.43,2023-07-18
C202,P024,Books,376.0,2023-03-13
C463,P038,Home & Kitchen,397.2,2023-08-13
C010,P048,Books,29.17,2023-10-13
C442,P037,Clothing,170.27,2023-01-13
C404,P024,Books,170.78,2023-03-31
C489,P020,Toys & Games,123.62,2023-05-24
C003,P037,Clothing,495.22,2023-07-22
C104,P034,Home & Kitchen,286.52,2023-09-22
C029,P041,Home & Kitchen,152.08,2023-02-11
C040,P024,Books,166.67,2023-09-21
C465,P027,Toys & Games,370.85,2023-03-31
C164,P031,Books,369.6,2023-05-31
C288,P003,Electronics,172.54,2023-08-15
C070,P020,Toys & Games,421.44,2023-06-04
C302,P032,Home & Kitchen,89.53,2023-07-10
C057,P019,Home & Kitchen,81.37,2023-02-25
C089,P028,Books,377.55,2023-06-22
C315,P008,Home & Kitchen,22.99,2023-03-15
C298,P034,Home & Kitchen,296.33,2023-02-12
C459,P019,Home & Kitchen,236.85,2023-12-23
C337,P017,Electronics,245.52,2023-12-26
C209,P048,Books,263.87,2023-07-21
C093,P027,Toys & Games,171.48,2023-03-01
C025,P044,Clothing,376.53,2023-12-09
C196,P034,Home & Kitchen,45.85,2023-05-02
C480,P021,Home & Kitchen,156.36,2023-06-05
C286,P016,Toys & Games,262.51,2023-09-11
C452,P015,Clothing,17.2,2023-07-06
C118,P010,Home & Kitchen,79.14,2023-11-26
C043,P036,Clothing,22.64,2023-02-09
C477,P048,Books,156.53,2023-12-03
C309,P038,Home & Kitchen,258.98,2023-08-29
C338,P029,Books,173.45,2023-08-13
C344,P006,Electronics,53.09,2023-05-30
C477,P018,Electronics,282.62,2023-03-12
C234,P045,Clothing,432.99,2023-03-23
C253,P019,Home & Kitchen,289.15,2023-12-24
C190,P044,Clothing,242.87,2023-02-02
C070,P036,Clothing,341.81,2023-12-24
C033,P018,Electronics,5.26,2023-10-07
C288,P026,Electronics,478.19,2023-04-07
C470,P025,Clothing,189.54,2023-04-06
C474,P019,Home & Kitchen,286.39,2023-10-10
C483,P003,Electronics,463.03,2023-01-27
C248,P010,Home & Kitchen,138.67,2023-09-07
C308,P007,Books,448.76,2023-03-11
C119,P007,Books,322.79,2023-08-04
C198,P001,Clothing,175.03,2023-06-13
C480,P002,Books,491.79,2023-07-12
C473,P042,Clothing,43.54,2023-01-20
C114,P029,Books,376.78,2023-09-25
C014,P011,Books,462.06,2023-10-23
C308,P020,Toys & Games,162.13,2023-08-25
C446,P030,Home & Kitchen,80.94,2023-10-06
C056,P036,Clothing,215.56,2023-09-22
C269,P049,Electronics,202.95,2023-05-19
C309,P016,Toys & Games,338.32,2023-05-03
C069,P035,Books,469.89,2023-05-05
C009,P036,Clothing,111.44,2023-02-16
C262,P002,Books,450.08,2023-09-06
C450,P044,Clothing,437.27,2023-02-27
C497,P037,Clothing,466.2,2023-07-20
C166,P020,Toys & Games,365.29,2023-01-21
C315,P038,Home & Kitchen,356.41,2023-01-29
C239,P029,Books,415.06,2023-03-15
C442,P038,Home & Kitchen,94.74,2023-07-16
C390,P024,Books,91.84,2023-04-17
C431,P045,Clothing,50.32,2023-06-30
C472,P016,Toys & Games,475.62,2023-07-18
C476,P033,Electronics,78.19,2023-08-09
C164,P040,Electronics,77.73,2023-02-23
C320,P038,Home & Kitchen,338.93,2023-08-16
C005,P033,Electronics,309.06,2023-05-12
C257,P007,Books,380.7,2023-02-22
C053,P025,Clothing,64.22,2023-10-20
C362,P036,Clothing,438.24,2023-01-03
C357,P038,Home & Kitchen,341.36,2023-11-15
C312,P026,Electronics,75.23,2023-09-10
C196,P029,Books,120.44,2023-06-28
C203,P033,Electronics,210.08,2023-02-20
C233,P029,Books,81.13,2023-08-21
C309,P030,Home & Kitchen,270.15,2023-01-25
C360,P005,Clothing,345.68,2023-07-04
C435,P019,Home & Kitchen,252.72,2023-03-01
C385,P025,Clothing,465.3,2023-04-19
C003,P030,Home & Kitchen,325.72,2023-05-12
C232,P030,Home & Kitchen,87.34,2023-01-01
C344,P040,Electronics,379.0,2023-09-17
C279,P026,Electronics,468.27,2023-08-06
C429,P043,Books,60.05,2023-06-17
C372,P048,Books,214.54,2023-04-18
C283,P032,Home & Kitchen,183.43,2023-01-14
C486,P019,Home & Kitchen,330.74,2023-02-16
C144,P038,Home & Kitchen,268.04,2023-05-10
C433,P041,Home & Kitchen,122.67,2023-01-05
C212,P001,Clothing,300.15,2023-07-03
C111,P019,Home & Kitchen,97.09,2023-08-24
C395,P007,Books,143.01,2023-05-01
C380,P026,Electronics,411.91,2023-12-15
C123,P039,Books,475.38,2023-08-01
C339,P003,Electronics,142.01,2023-07-31
C444,P031,Books,147.09,2023-05-13
C047,P023,Books,165.31,2023-03-12
C365,P049,Electronics,330.91,2023-10-18
C320,P023,Books,428.39,2023-11-11
C328,P033,Electronics,81.2,2023-02-25
C304,P008,Home & Kitchen,214.05,2023-08-13
C388,P050,Home & Kitchen,67.84,2023-06-19
C069,P008,Home & Kitchen,88.74,2023-01-21
C174,P041,Home & Kitchen,474.16,2023-05-12
C475,P011,Books,86.36,2023-07-08
C417,P031,Books,382.37,2023-11-09
C084,P027,Toys & Games,110.25,2023-08-10
C409,P001,Clothing,152.77,2023-05-09
C437,P012,Electronics,168.98,2023-09-06
C123,P032,Home & Kitchen,28.12,2023-08-11
C050,P046,Books,435.69,2023-10-26
C015,P047,Clothing,270.79,2023-12-07
C348,P048,Books,238.67,2023-08-22
C104,P038,Home & Kitchen,43.82,2023-08-15
C077,P012,Electronics,415.19,2023-09-22
C205,P035,Books,139.65,2023-04-16
C397,P007,Books,205.74,2023-01-09
C483,P030,Home & Kitchen,231.79,2023-07-20
C160,P035,Books,161.65,2023-05-27
C192,P006,Electronics,367.39,2023-03-09
C251,P021,Home & Kitchen,348.39,2023-05-08
C285,P029,Books,58.7,2023-02-05
C321,P049,Electronics,387.81,2023-06-13
C325,P018,Electronics,454.95,2023-12-11
C021,P047,Clothing,197.28,2023-07-06
C150,P010,Home & Kitchen,33.26,2023-12-27
C069,P050,Home & Kitchen,201.27,2023-07-25
C365,P019,Home & Kitchen,197.4,2023-08-10
C380,P023,Books,110.92,2023-03-17
C271,P019,Home & Kitchen,55.7,2023-09-07
C435,P006,Electronics,199.04,2023-11-22
C355,P039,Books,194.59,2023-12-06
C278,P008,Home & Kitchen,171.46,2023-02-19
C242,P023,Books,405.82,2023-01-12
C364,P008,Home & Kitchen,293.1,2023-09-20
